"%s (Default Template from Locale)","%s (Default Template from Locale)"
"%s cache type(s) disabled.","%s cache type(s) disabled."
"%s cache type(s) enabled.","%s cache type(s) enabled."
"%s cache type(s) refreshed.","%s cache type(s) refreshed."
"(%s/%s/%s)","(%s/%s/%s)"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(For US 2-letter state names)"
"(If left empty will be auto-generated)","(If left empty will be auto-generated)"
"(Leave empty for first spreadsheet)","(Leave empty for first spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)"
"(Starting with)","(Starting with)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(You have to increase php memory_limit before changing this value)"
"(\\t for tab)","(\\t for tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - If indexing is in progress, it will be killed and new indexing process will start."
"* Required Fields","* Required Fields"
"-- Not Selected --","-- Not Selected --"
"-- Please Select --","-- Please Select --"
"-- Please select --","-- Please select --"
"--Please Select--","--Please Select--"
"-- Please Select a Category --","-- Please Select a Category --"
"-- Please Select Billing Agreement--","-- Please Select Billing Agreement--"
"1 Hour","1 Hour"
"2 Hours","2 Hours"
"2FA verification code:","2FA verification code:"
"2FA verification code is invalid.","2FA verification code is invalid."
"2YTD","2YTD"
"6 Hours","6 Hours"
"12 Hours","12 Hours"
"12h AM/PM","12h AM/PM"
"24 Hours","24 Hours"
"24h","24h"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> requests access to your account"
"Abandoned Carts","Abandoned Carts"
"Access Denied","Access Denied"
"Access denied","Access denied"
"Access denied.","Access denied."
"Account Created in:","Account Created in:"
"Account Created on (%s):","Account Created on (%s):"
"Account Created on:","Account Created on:"
"Account Information","Account Information"
"Account Status","Account Status"
"Account status","Account status"
"Action","Action"
"Actions","Actions"
"Actions XML","Actions XML"
"Active","Active"
"Add","Add"
"Add after","Add after"
"Add Exception","Add Exception"
"Add Field Mapping","Add Field Mapping"
"Add Field with URL:","Add Field with URL:"
"Additional Cache Management","Additional Cache Management"
"Add New","Add New"
"Add New Block","Add New Block"
"Add New Image","Add New Image"
"Add New Profile","Add New Profile"
"Add New Role","Add New Role"
"Add New Template","Add New Template"
"Add New URL Rewrite","Add New URL Rewrite"
"Add New User","Add New User"
"Add New Variable","Add New Variable"
"Add new variable","Add new variable"
"Add Products","Add Products"
"Address Type:","Address Type:"
"Add URL Rewrite","Add URL Rewrite"
"Add URL Rewrite for a Category","Add URL Rewrite for a Category"
"Add URL Rewrite for a Product","Add URL Rewrite for a Product"
"Admin","Admin"
"Advanced Profiles","Advanced Profiles"
"After authorization application will have access to you account.","After authorization application will have access to you account."
"Alert","Alert"
"All","All"
"All Allowed Countries","All Allowed Countries"
"All Cache","All Cache"
"All countries","All countries"
"All fields","All fields"
"Allowed","Allowed"
"All possible rates were fetched, please click on ""Save"" to apply","All possible rates were fetched, please click on ""Save"" to apply"
"All rates were fetched, please click on ""Save"" to apply","All rates were fetched, please click on ""Save"" to apply"
"All Reviews","All Reviews"
"All Store Views","All Store Views"
"All Tags","All Tags"
"All valid rates have been saved.","All valid rates have been saved."
"All Websites","All Websites"
"Always (during development)","Always (during development)"
"Amounts","Amounts"
" and "," and "
"An error occurred: %s","An error occurred: %s"
"An error occurred while adding condition.","An error occurred while adding condition."
"An error occurred while clearing the configurable swatches image cache.","An error occurred while clearing the configurable swatches image cache."
"An error occurred while clearing the image cache.","An error occurred while clearing the image cache."
"An error occurred while clearing the minified CSS/JS cache.","An error occurred while clearing the minified CSS/JS cache."
"An error occurred while deleting email template data. Please review log and try again.","An error occurred while deleting email template data. Please review log and try again."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"An error occurred while deleting this role.","An error occurred while deleting this role."
"An error occurred while deleting this set.","An error occurred while deleting this set."
"An error occurred while deleting this template.","An error occurred while deleting this template."
"An error occurred while deleting URL Rewrite.","An error occurred while deleting URL Rewrite."
"An error occurred while finishing process. Please refresh the cache","An error occurred while finishing process. Please refresh the cache"
"An error occurred while logging in.","An error occurred while logging in."
"An error occurred while rebuilding the catalog index.","An error occurred while rebuilding the catalog index."
"An error occurred while rebuilding the CatalogInventory Stock Status.","An error occurred while rebuilding the CatalogInventory Stock Status."
"An error occurred while rebuilding the flat catalog category.","An error occurred while rebuilding the flat catalog category."
"An error occurred while rebuilding the flat product catalog.","An error occurred while rebuilding the flat product catalog."
"An error occurred while rebuilding the search index.","An error occurred while rebuilding the search index."
"An error occurred while refreshing roles.","An error occurred while refreshing roles."
"An error occurred while refreshing the Catalog Rewrites.","An error occurred while refreshing the Catalog Rewrites."
"An error occurred while refreshing the catalog rewrites.","An error occurred while refreshing the catalog rewrites."
"An error occurred while refreshing the Layered Navigation indices.","An error occurred while refreshing the Layered Navigation indices."
"An error occurred while refreshing the layered navigation indices.","An error occurred while refreshing the layered navigation indices."
"An error occurred while saving account.","An error occurred while saving account."
"An error occurred while saving review.","An error occurred while saving review."
"An error occurred while saving the customer.","An error occurred while saving the customer."
"An error occurred while saving this configuration:","An error occurred while saving this configuration:"
"An error occurred while saving this role.","An error occurred while saving this role."
"An error occurred while saving this template.","An error occurred while saving this template."
"An error occurred while saving URL Rewrite.","An error occurred while saving URL Rewrite."
"An error occurred while sending the test email.","An error occurred while sending the test email."
"An error occurred while updating the email address.","An error occurred while updating the email address."
"An error occurred while updating the selected review(s).","An error occurred while updating the selected review(s)."
"Any","Any"
"Any Attribute Set","Any Attribute Set"
"Any Group","Any Group"
"Any Status","Any Status"
"Any Type","Any Type"
"Any Visibility","Any Visibility"
"API Key","API Key"
"API Key Confirmation","API Key Confirmation"
"Archive file name:","Archive file name:"
"Area","Area"
"Are you sure you want to do this?","Are you sure you want to do this?"
"ASCII","ASCII"
"Assigned","Assigned"
"Associated Tags","Associated Tags"
"At least one currency has to be allowed.","At least one currency has to be allowed."
"Attributes","Attributes"
"Attribute Set Name:","Attribute Set Name:"
"A user with the same user name or email already exists.","A user with the same user name or email already exists."
"Authorization confirmed","Authorization confirmed"
"Authorize","Authorize"
"Authorize application","Authorize application"
"Authorized OAuth Tokens","Authorized OAuth Tokens"
"Automatic (equalize price ranges)","Automatic (equalize price ranges)"
"Automatic (equalize product counts)","Automatic (equalize product counts)"
"Average","Average"
"Average Order Amount","Average Order Amount"
"Back","Back"
"Backend Locale","Backend Locale"
"Base currency","Base currency"
"Bcc","Bcc"
"Bestsellers","Bestsellers"
"Billing Address","Billing Address"
"Billing Address: ","Billing Address: "
"Billing Agreement","Billing Agreement"
"Billing Agreements","Billing Agreements"
"BINARY","BINARY"
"Block Details","Block Details"
"Block has been deleted.","Block has been deleted."
"Block Information","Block Information"
"Block Name","Block Name"
"Block Name is disallowed.","Block Name is disallowed."
"Block Name is incorrect.","Block Name is incorrect."
"Block Name is required field.","Block Name is required field."
"Blocks","Blocks"
"Both (without and with tax)","Both (without and with tax)"
"Browse Files...","Browse Files..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle with dynamic pricing cannot include custom defined options. Options will not be saved."
"By Email","By Email"
"By IP","By IP"
"By IP and Email","By IP and Email"
"Cache Control","Cache Control"
"Cache Control (beta)","Cache Control (beta)"
"Cache Management","Cache Management"
"Cache Type","Cache Type"
"Cancel","Cancel"
"Cannot add new comment.","Cannot add new comment."
"Cannot add tracking number.","Cannot add tracking number."
"Cannot create an invoice without products.","Cannot create an invoice without products."
"Cannot create credit memo for the order.","Cannot create credit memo for the order."
"Cannot delete the design change.","Cannot delete the design change."
"Cannot delete tracking number.","Cannot delete tracking number."
"Cannot do shipment for the order.","Cannot do shipment for the order."
"Cannot do shipment for the order separately from invoice.","Cannot do shipment for the order separately from invoice."
"Cannot initialize shipment for adding tracking number.","Cannot initialize shipment for adding tracking number."
"Cannot initialize shipment for delete tracking number.","Cannot initialize shipment for delete tracking number."
"Cannot load track with retrieving identifier.","Cannot load track with retrieving identifier."
"Cannot retrieve tracking number detail.","Cannot retrieve tracking number detail."
"Cannot save shipment.","Cannot save shipment."
"Cannot save the credit memo.","Cannot save the credit memo."
"Cannot send shipment information.","Cannot send shipment information."
"Cannot update item quantity.","Cannot update item quantity."
"Cannot update the item's quantity.","Cannot update the item's quantity."
"Card Verification Number","Card Verification Number"
"Catalog","Catalog"
"Catalog Price Rules","Catalog Price Rules"
"Catalog Rewrites","Catalog Rewrites"
"Categories","Categories"
"Category","Category"
"Category:","Category:"
"Change Password","Change Password"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>."
"Checkbox","Checkbox"
"Child Transactions","Child Transactions"
"Choose an attribute","Choose an attribute"
"Choose Store View:","Choose Store View:"
"Chosen category does not associated with any website, so url rewrite is not possible.","Chosen category does not associated with any website, so url rewrite is not possible."
"Chosen product does not associated with any website, so url rewrite is not possible.","Chosen product does not associated with any website, so url rewrite is not possible."
"Clear","Clear"
"Close","Close"
"close","close"
"CMS","CMS"
"Code","Code"
"Comment text field cannot be empty.","Comment text field cannot be empty."
"Config form fieldset clone model required to be able to clone fields","Config form fieldset clone model required to be able to clone fields"
"Configuration","Configuration"
"Confirmation Of Authorization","Confirmation Of Authorization"
"Confirmed email:","Confirmed email:"
"Confirm New Password","Confirm New Password"
"Confirm token authorization for admin","Confirm token authorization for admin"
"Confirm token authorization Pop Up for admin","Confirm token authorization Pop Up for admin"
"Continue","Continue"
"Convert to Plain Text","Convert to Plain Text"
"Country","Country"
"Country:","Country:"
"Coupon Discount (Formatted Text)","Coupon Discount (Formatted Text)"
"Coupon Discount Amount (Raw Number)","Coupon Discount Amount (Raw Number)"
"Coupons","Coupons"
"Create","Create"
"Created At","Created At"
"Create DB Backup","Create DB Backup"
"Create URL Rewrite:","Create URL Rewrite:"
"Credit Card %s","Credit Card %s"
"Credit Card Number","Credit Card Number"
"Credit Card Type","Credit Card Type"
"Credit memo #%s comment added","Credit memo #%s comment added"
"Credit memo #%s created","Credit memo #%s created"
"Credit memo's total must be positive.","Credit memo's total must be positive."
"Credit Memo History","Credit Memo History"
"Credit Memos","Credit Memos"
"Credit Memo Totals","Credit Memo Totals"
"CRITICAL","CRITICAL"
"Critical","Critical"
"critical","critical"
"CSV","CSV"
"CSV / Tab separated","CSV / Tab separated"
"Currency","Currency"
"Currency ""%s"" is used as %s in %s.","Currency ""%s"" is used as %s in %s."
"Currency doesn't exist.","Currency doesn't exist."
"Currency Information","Currency Information"
"Current Admin Password","Current Admin Password"
"Current Configuration Scope:","Current Configuration Scope:"
"Current Month","Current Month"
"Current password field cannot be empty.","Current password field cannot be empty."
"Custom","Custom"
"Customer","Customer"
"Customer email address changed from %s to %s by %s.","Customer email address changed from %s to %s by %s."
"Customer Group:","Customer Group:"
"Customer Groups","Customer Groups"
"Customer Name","Customer Name"
"Customer Reviews","Customer Reviews"
"Customers","Customers"
"Customers by Number of Orders","Customers by Number of Orders"
"Customers by Orders Total","Customers by Orders Total"
"Customer Shopping Carts","Customer Shopping Carts"
"Customer Since:","Customer Since:"
"Customer Tax Classes","Customer Tax Classes"
"Customer with the same email already exists.","Customer with the same email already exists."
"Custom Symbol","Custom Symbol"
"Custom Variable ""%s""","Custom Variable ""%s"""
"Custom Variables","Custom Variables"
"Dashboard","Dashboard"
"Database","Database"
"Dataflow - Advanced Profiles","Dataflow - Advanced Profiles"
"Dataflow - Profiles","Dataflow - Profiles"
"Data Format","Data Format"
"Data transfer:","Data transfer:"
"Date","Date"
"Date & Time","Date & Time"
"Date Added","Date Added"
"Date Updated","Date Updated"
"Day","Day"
"Debug","Debug"
"Decimal separator:","Decimal separator:"
"Default (Admin) Values","Default (Admin) Values"
"Default Billing Address","Default Billing Address"
"Default Config","Default Config"
"Default display currency ""%s"" is not available in allowed currencies.","Default display currency ""%s"" is not available in allowed currencies."
"Default scope","Default scope"
"Default Symbol","Default Symbol"
"Default Template from Locale","Default Template from Locale"
"Default Values","Default Values"
"Delete","Delete"
"Delete %s","Delete %s"
"Delete %s '%s'","Delete %s '%s'"
"Delete Block","Delete Block"
"Delete File","Delete File"
"Delete Image","Delete Image"
"Delete Profile","Delete Profile"
"Delete Role","Delete Role"
"Delete Store","Delete Store"
"Delete Store View","Delete Store View"
"Delete Template","Delete Template"
"Delete User","Delete User"
"Delete Variable","Delete Variable"
"Delete Website","Delete Website"
"Description","Description"
"Design","Design"
"Details","Details"
"Direction:","Direction:"
"Disable","Disable"
"Disable All Email Communications","Disable All Email Communications"
"Disabled","Disabled"
"Disallowed block name for frontend.","Disallowed block name for frontend."
"Display default currency","Display default currency"
"Do nothing","Do nothing"
"Download","Download"
"Downloads","Downloads"
"Do you really want to KILL parallel process and start new indexing process?","Do you really want to KILL parallel process and start new indexing process?"
"Drop-down","Drop-down"
"Edit","Edit"
"Edit Block","Edit Block"
"Edit Block '%s'","Edit Block '%s'"
"Edit Design Change","Edit Design Change"
"Edit Email Template","Edit Email Template"
"Edit Order","Edit Order"
"Edit Queue","Edit Queue"
"Edit Review","Edit Review"
"Edit Role","Edit Role"
"Edit Store View","Edit Store View"
"Edit System Template","Edit System Template"
"Edit Template","Edit Template"
"Edit URL Rewrite","Edit URL Rewrite"
"Edit User","Edit User"
"Edit User '%s'","Edit User '%s'"
"Edit Variable","Edit Variable"
"Edit Variable '%s'","Edit Variable '%s'"
"Edit Website","Edit Website"
"Email","Email"
"Email:","Email:"
"Email Address:","Email Address:"
"Email can only be changed for guest orders.","Email can only be changed for guest orders."
"Email transport is disabled. Please configure an email transport in Mail Sending Settings.","Email transport is disabled. Please configure an email transport in Mail Sending Settings."
"Emergency","Emergency"
"Enable","Enable"
"Enable 2FA","Enable 2FA"
"Enabled","Enabled"
"Enable Password Authentication","Enable Password Authentication"
"Enclose Values In:","Enclose Values In:"
"Engagement","Engagement"
"Enter current password and press ""Save Account"" to confirm passkey change.","Enter current password and press ""Save Account"" to confirm passkey change."
"Enter new email address:","Enter new email address:"
"Entity Attributes","Entity Attributes"
"Entity Type","Entity Type"
"Entity type:","Entity type:"
"Entry & Exit Pages","Entry & Exit Pages"
"Error","Error"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","example: ""sitemap/"" or ""/"" for base path (path must be writeable)"
"example: sitemap.xml","example: sitemap.xml"
"Excel XML","Excel XML"
"Excl. Tax","Excl. Tax"
"Excl. Tax:","Excl. Tax:"
"Expiration Date","Expiration Date"
"Export","Export"
"Export:","Export:"
"Export CSV","Export CSV"
"Export Filters","Export Filters"
"Export to:","Export to:"
"Failed","Failed"
"failed","failed"
"Failed to add a product to cart by id ""%s"".","Failed to add a product to cart by id ""%s""."
"Failed to cancel the billing agreement.","Failed to cancel the billing agreement."
"Failed to delete the billing agreement.","Failed to delete the billing agreement."
"Failed to send test email. Please check your email configuration and error logs.","Failed to send test email. Please check your email configuration and error logs."
"Failed to update the profile.","Failed to update the profile."
"Field","Field"
"Field Mapping","Field Mapping"
"File","File"
"File Information","File Information"
"File mode","File mode"
"File name:","File name:"
"File System","File System"
"Finished profile execution.","Finished profile execution."
"First Invoice Created Date","First Invoice Created Date"
"First Name","First Name"
"First Name:","First Name:"
"First Name is required field.","First Name is required field."
"Fixed","Fixed"
"Flush Catalog Images Cache","Flush Catalog Images Cache"
"Flush Minified CSS/JS Cache","Flush Minified CSS/JS Cache"
"Flush Swatch Images Cache","Flush Swatch Images Cache"
"For category","For category"
"Forgot Admin Password","Forgot Admin Password"
"Forgot your password?","Forgot your password?"
"Forgot your user name or password?","Forgot your user name or password?"
"For product","For product"
"From","From"
"from","from"
"FTP Host[:Port]","FTP Host[:Port]"
"General Information","General Information"
"Give the verifier code to application administrator","Give the verifier code to application administrator"
"GLOBAL","GLOBAL"
"Global Record Search","Global Record Search"
"Global Search","Global Search"
"Google Sitemaps","Google Sitemaps"
"Go to messages inbox","Go to messages inbox"
"Go to notifications","Go to notifications"
"Grand Total","Grand Total"
"Grid (default) / List","Grid (default) / List"
"Grid Only","Grid Only"
"Group:","Group:"
"Guest","Guest"
"Helper attributes should not be used in custom layout updates.","Helper attributes should not be used in custom layout updates."
"Helper for options rendering doesn't implement required interface.","Helper for options rendering doesn't implement required interface."
"Home","Home"
"HTTP (unsecure)","HTTP (unsecure)"
"HTTPS (SSL)","HTTPS (SSL)"
"ID","ID"
"Id","Id"
"ID Path","ID Path"
"If there is an account associated with %s you will receive an email with a link to reset your password.","If there is an account associated with %s you will receive an email with a link to reset your password."
"If this message persists, please contact the store owner.","If this message persists, please contact the store owner."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Images Cache","Images Cache"
"Import","Import"
"Import/Export","Import/Export"
"Import/Export Advanced","Import/Export Advanced"
"Import/Export Profile","Import/Export Profile"
"Import and Export","Import and Export"
"Import and Export Tax Rates","Import and Export Tax Rates"
"Important: ","Important: "
"Imported <strong>%s</strong> records","Imported <strong>%s</strong> records"
"Import Service","Import Service"
"In","In"
"Inactive","Inactive"
"Incl. Tax","Incl. Tax"
"Incl. Tax:","Incl. Tax:"
"Incoming Message","Incoming Message"
"In Database:","In Database:"
"In File:","In File:"
"Informational","Informational"
"Input fields (from - to)","Input fields (from - to)"
"Insert Variable...","Insert Variable..."
"Interactive","Interactive"
"Interface Locale: %s","Interface Locale: %s"
"Internal Error","Internal Error"
"Invalid 2FA verification code","Invalid 2FA verification code"
"Invalidated","Invalidated"
"Invalid current password.","Invalid current password."
"Invalid data","Invalid data"
"Invalid email address ""%s"".","Invalid email address ""%s""."
"Invalid email address.","Invalid email address."
"Invalid email address.","Invalid email address."
"Invalid field name '%s', must not be one of NOT, AND, OR, XOR","Invalid field name '%s', must not be one of NOT, AND, OR, XOR"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Invalid Import Service Specified","Invalid Import Service Specified"
"Invalid input data for %s => %s rate","Invalid input data for %s => %s rate"
"Invalid operator '%s', must be one of NOT, AND, OR, XOR","Invalid operator '%s', must be one of NOT, AND, OR, XOR"
"Invalid parent block for this block","Invalid parent block for this block"
"Invalid parent block for this block.","Invalid parent block for this block."
"Invalid password reset token.","Invalid password reset token."
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file)."
"Invalid request method","Invalid request method"
"Invalid response","Invalid response"
"Invalid Secret Key. Please refresh the page.","Invalid Secret Key. Please refresh the page."
"Invalid sender name ""%s"". Please use only visible characters and spaces.","Invalid sender name ""%s"". Please use only visible characters and spaces."
"Invalid template data.","Invalid template data."
"Invalid template path used in layout update.","Invalid template path used in layout update."
"Invalid timezone","Invalid timezone"
"Invalid User Name or Password.","Invalid User Name or Password."
"Inventory Stock Status","Inventory Stock Status"
"Invoice #%s comment added","Invoice #%s comment added"
"Invoice #%s created","Invoice #%s created"
"Invoice canceling error.","Invoice canceling error."
"Invoice capturing error.","Invoice capturing error."
"Invoice History","Invoice History"
"Invoices","Invoices"
"Invoice Totals","Invoice Totals"
"Invoice voiding error.","Invoice voiding error."
"IP Address","IP Address"
"IPN (Instant Payment Notification) Only","IPN (Instant Payment Notification) Only"
"Is Allowed","Is Allowed"
"Is Allowed is required field.","Is Allowed is required field."
"Is Closed","Is Closed"
"Is Default","Is Default"
"Issue Number","Issue Number"
"Items","Items"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS Cache"
"Languages","Languages"
"Last 5 Orders","Last 5 Orders"
"Last 5 Search Terms","Last 5 Search Terms"
"Last 7 Days","Last 7 Days"
"Last 24 Hours","Last 24 Hours"
"Last Credit Memo Created Date","Last Credit Memo Created Date"
"Last Invoice Created Date","Last Invoice Created Date"
"Last Logged In (%s):","Last Logged In (%s):"
"Last Logged In:","Last Logged In:"
"Last Name","Last Name"
"Last Name:","Last Name:"
"Last Name is required field.","Last Name is required field."
"Last updated: %s. To refresh last day's <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>.","Last updated: %s. To refresh last day's <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>."
"Latest Message:","Latest Message:"
"Layered Navigation Indices","Layered Navigation Indices"
"Layered Navigation Indices were refreshed.","Layered Navigation Indices were refreshed."
"Leave empty to use tax identifier","Leave empty to use tax identifier"
"Lifetime","Lifetime"
"Lifetime Sales","Lifetime Sales"
"Lifetime statistics have been updated.","Lifetime statistics have been updated."
"Links","Links"
"Links with associated products will retain only after saving current product.","Links with associated products will retain only after saving current product."
"List (default) / Grid","List (default) / Grid"
"List Only","List Only"
"Load default template","Load default template"
"Loading...","Loading..."
"Load Template","Load Template"
"Local/Remote Server","Local/Remote Server"
"Locale","Locale"
"Local Server","Local Server"
"Log In","Log In"
"Login","Login"
"Log in to Admin Panel","Log in to Admin Panel"
"Log into Maho Admin Page","Log into Maho Admin Page"
"Log in to use <strong>%s</strong>","Log in to use <strong>%s</strong>"
"Login with Passkey","Login with Passkey"
"Log Out","Log Out"
"Low Stock","Low Stock"
"Maho Admin","Maho Admin"
"Maho Test Email","Maho Test Email"
"MAJOR","MAJOR"
"major","major"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI)."
"Manage Attributes","Manage Attributes"
"Manage Attribute Sets","Manage Attribute Sets"
"Manage Categories","Manage Categories"
"Manage Content","Manage Content"
"Manage Currency Rates","Manage Currency Rates"
"Manage Customers","Manage Customers"
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"Manage Ratings","Manage Ratings"
"Manage Stores","Manage Stores"
"Manage Tax Rules","Manage Tax Rules"
"Manage Tax Zones and Rates","Manage Tax Zones and Rates"
"Manage Titles (Size, Color, etc.)","Manage Titles (Size, Color, etc.)"
"Manual","Manual"
"Matched Expression","Matched Expression"
"Maximum sender name length is 255. Please correct your settings.","Maximum sender name length is 255. Please correct your settings."
"Messages Inbox","Messages Inbox"
"Minified CSS and JavaScript files.","Minified CSS and JavaScript files."
"MINOR","MINOR"
"minor","minor"
"Missing required fields","Missing required fields"
"Month","Month"
"Most Viewed","Most Viewed"
"Most Viewed Products","Most Viewed Products"
"MS Excel XML","MS Excel XML"
"Multiple Select","Multiple Select"
"My Account","My Account"
"My Applications","My Applications"
"N/A","N/A"
"Name","Name"
"Name:","Name:"
"Name on Card","Name on Card"
"Network Error. Please refresh the page.","Network Error. Please refresh the page."
"Never (production)","Never (production)"
"New ","New "
"New Accounts","New Accounts"
"New API Key","New API Key"
"New Attribute","New Attribute"
"New Block","New Block"
"New block","New block"
"New Category","New Category"
"New Class","New Class"
"New Condition","New Condition"
"New Customer","New Customer"
"New Customers","New Customers"
"New Custom Variable","New Custom Variable"
"New Design Change","New Design Change"
"New Email Template","New Email Template"
"New Group","New Group"
"New Invoice","New Invoice"
"New Memo","New Memo"
"New Memo for #%s","New Memo for #%s"
"New Page","New Page"
"New Password","New Password"
"New Password Confirmation","New Password Confirmation"
"New password field cannot be empty.","New password field cannot be empty."
"New Profile","New Profile"
"New Rate","New Rate"
"New Rating","New Rating"
"New Review","New Review"
"New Role","New Role"
"New Rule","New Rule"
"New Search","New Search"
"New Set","New Set"
"New Shipment","New Shipment"
"New Sitemap","New Sitemap"
"Newsletter","Newsletter"
"Newsletter Problems","Newsletter Problems"
"Newsletter Queue","Newsletter Queue"
"Newsletter Subscribers","Newsletter Subscribers"
"Newsletter Templates","Newsletter Templates"
"New Store View","New Store View"
"New System Template","New System Template"
"New Tag","New Tag"
"New Template","New Template"
"New User","New User"
"New Variable","New Variable"
"New Website","New Website"
"No","No"
"No (price without tax)","No (price without tax)"
"No change","No change"
"No customer id defined.","No customer id defined."
"No Data Found","No Data Found"
"No information available.","No information available."
"None","None"
"No profile loaded...","No profile loaded..."
"No records found.","No records found."
"No records found for this period.","No records found for this period."
"No report code specified.","No report code specified."
"No search keywords.","No search keywords."
"No search modules were registered","No search modules were registered"
"Not allowed","Not allowed"
"Not authenticated","Not authenticated"
"Note:","Note:"
"No Templates Found","No Templates Found"
"NOTICE","NOTICE"
"Notice","Notice"
"notice","notice"
"Notifications","Notifications"
"Number of Orders","Number of Orders"
"Number of records:","Number of records:"
"Number of Uses","Number of Uses"
"Number of Views","Number of Views"
"OAuth authorization for admin","OAuth authorization for admin"
"OAuth authorization simple for admin","OAuth authorization simple for admin"
"OAuth Consumers","OAuth Consumers"
"Old rate:","Old rate:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below"
"One or more of the Cache Types are invalidated:","One or more of the Cache Types are invalidated:"
"Online Customers","Online Customers"
