"# of Use","# of Use"
"%1$s incl tax.","%1$s incl tax."
"%s-%s of %s","%s-%s of %s"
"%s and above","%s and above"
"%s Item(s)","%s Item(s)"
"(%d)","(%d)"
"(Copy data from: %s)","(Copy data from: %s)"
"* Required Fields","* Required Fields"
"-- Please Select --","-- Please Select --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend."
"Action","Action"
"Active Filters","Active Filters"
"Actual Price","Actual Price"
"Add","Add"
"Add Attribute","Add Attribute"
"Add attribute into attribute set","Add attribute into attribute set"
"Add Design Change","Add Design Change"
"Add Group","Add Group"
"Add group into attribute set","Add group into attribute set"
"Add Group Price","Add Group Price"
"Additional Information","Additional Information"
"Additional Views","Additional Views"
"Add New","Add New"
"Add New Attribute","Add New Attribute"
"Add New Attribute Set","Add New Attribute Set"
"Add new custom option into product","Add new custom option into product"
"Add New Group","Add New Group"
"Add New Images","Add New Images"
"Add New Option","Add New Option"
"Add New Row","Add New Row"
"Add New Search Term","Add New Search Term"
"Add New Set","Add New Set"
"Add new values into custom option","Add new values into custom option"
"Add option","Add option"
"Add Product","Add Product"
"Add Product To Websites","Add Product To Websites"
"Add Root Category","Add Root Category"
"Add Subcategory","Add Subcategory"
"Add Tax","Add Tax"
"Add Tier","Add Tier"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Alert Urls","Alert Urls"
"All","All"
"ALL GROUPS","ALL GROUPS"
"Allow All Products per Page","Allow All Products per Page"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Allow HTML Tags on Frontend","Allow HTML Tags on Frontend"
"All products","All products"
"All products - recently added products, New products - products marked as new","All products - recently added products, New products - products marked as new"
"All Product Types","All Product Types"
"All Websites","All Websites"
"Amount","Amount"
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"and","and"
"and above","and above"
"An error occurred while adding products to websites.","An error occurred while adding products to websites."
"An error occurred while clearing comparison list.","An error occurred while clearing comparison list."
"An error occurred while deleting this review.","An error occurred while deleting this review."
"An error occurred while removing products from websites.","An error occurred while removing products from websites."
"An error occurred while saving the attribute set.","An error occurred while saving the attribute set."
"An error occurred while saving the collection, aborting. Error message: %s","An error occurred while saving the collection, aborting. Error message: %s"
"An error occurred while saving the product. ","An error occurred while saving the product. "
"An error occurred while saving the search query.","An error occurred while saving the search query."
"An error occurred while saving the URL rewrite","An error occurred while saving the URL rewrite"
"An error occurred while saving this review.","An error occurred while saving this review."
"An error occurred while updating the product(s) attributes.","An error occurred while updating the product(s) attributes."
"An error occurred while updating the product(s) status.","An error occurred while updating the product(s) status."
"An invalid group ID is specified, skipping the record.","An invalid group ID is specified, skipping the record."
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"An invalid store was specified.","An invalid store was specified."
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes."
"Apply","Apply"
"Apply MAP (Default Value)","Apply MAP (Default Value)"
"Apply price filter","Apply price filter"
"Apply To","Apply To"
"Approved","Approved"
"A product type is not defined for the indexer.","A product type is not defined for the indexer."
"Are you sure?","Are you sure?"
"Are you sure you want to delete this category?","Are you sure you want to delete this category?"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the compare products?","Are you sure you would like to remove this item from the compare products?"
"Assign","Assign"
"Assigned Products","Assigned Products"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Associated Products","Associated Products"
"Attrib. Set Name","Attrib. Set Name"
"Attribute ""%s"" is invalid.","Attribute ""%s"" is invalid."
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute add","Attribute add"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter. Do not use ""event"" for an attribute code.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter. Do not use ""event"" for an attribute code."
"Attribute Information","Attribute Information"
"Attribute Name:","Attribute Name:"
"Attribute remove","Attribute remove"
"Attributes","Attributes"
"Attribute Set","Attribute Set"
"Attribute Sets","Attribute Sets"
"Attribute with the same code already exists","Attribute with the same code already exists"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Autogenerate","Autogenerate"
"Availability:","Availability:"
"Back","Back"
"Background Color","Background Color"
"Backorders","Backorders"
"Based On","Based On"
"Base Image Width","Base Image Width"
"Before Order Confirmation","Before Order Confirmation"
"Best Value","Best Value"
"Block after Info Column","Block after Info Column"
"Bottom/Left","Bottom/Left"
"Bottom/Right","Bottom/Right"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bundle Items","Bundle Items"
"Buy %1$s","Buy %1$s"
"Buy %1$s for","Buy %1$s for"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"Cache refresh needed.","Cache refresh needed."
"Can't create image.","Can't create image."
"Can be Divided into Multiple Boxes for Shipping","Can be Divided into Multiple Boxes for Shipping"
"Can be used only with catalog input type Dropdown","Can be used only with catalog input type Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Cancel","Cancel"
"Cannot create image.","Cannot create image."
"Cannot create writeable directory '%s'.","Cannot create writeable directory '%s'."
"Cart Item Attribute","Cart Item Attribute"
"Catalog","Catalog"
"Catalog, Search","Catalog, Search"
"Catalog Category (Anchor)","Catalog Category (Anchor)"
"Catalog Category (Non-Anchor)","Catalog Category (Non-Anchor)"
"Catalog Category (Without Subcategories)","Catalog Category (Without Subcategories)"
"Catalog Category Link","Catalog Category Link"
"Catalog New Products List","Catalog New Products List"
"Catalog Price Scope","Catalog Price Scope"
"Catalog Product Compare List","Catalog Product Compare List"
"Catalog product custom options API","Catalog product custom options API"
"Catalog product custom option values API","Catalog product custom option values API"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Catalog Product Image Gallery Popup","Catalog Product Image Gallery Popup"
"Catalog Product Link","Catalog Product Link"
"Catalog Product View (Any)","Catalog Product View (Any)"
"Catalog Product View (Configurable)","Catalog Product View (Configurable)"
"Catalog Product View (Grouped)","Catalog Product View (Grouped)"
"Catalog Product View (Simple)","Catalog Product View (Simple)"
"Catalog Product View (Virtual)","Catalog Product View (Virtual)"
"Catalog Seo Sitemap (Category List)","Catalog Seo Sitemap (Category List)"
"Catalog Seo Sitemap (Category Tree)","Catalog Seo Sitemap (Category Tree)"
"Catalog Seo Sitemap (Common)","Catalog Seo Sitemap (Common)"
"Catalog Seo Sitemap (Product List)","Catalog Seo Sitemap (Product List)"
"Catalog URL Rewrites","Catalog URL Rewrites"
"Categories","Categories"
"categories","categories"
"Categories Sitemap","Categories Sitemap"
"Category","Category"
"Category API","Category API"
"Category attributes API","Category attributes API"
"Category Data","Category Data"
"Category delete error: %s","Category delete error: %d"
"Category Flat Data","Category Flat Data"
"Category is not dynamic.","Category is not dynamic."
"Category Link Block Template","Category Link Block Template"
"Category Link Inline Template","Category Link Inline Template"
"Category move error: %s","Category move error: %s"
"Category must be an instance of Mage_Catalog_Model_Category.","Category must be an instance of Mage_Catalog_Model_Category."
"Category not found.","Category not found."
"Category Products","Category Products"
"Category save error: %s","Category save error: %s"
"Category Top Navigation","Category Top Navigation"
"Category URL Suffix","Category URL Suffix"
"Category was not found.","Category was not found."
"Center","Center"
"Change","Change"
"Change or Retrieve attribute store view","Change or Retrieve attribute store view"
"Change status","Change status"
"Check items to add to the cart or","Check items to add to the cart or"
"Choose an Option...","Choose an Option..."
"Clear All","Clear All"
"Clear Price","Clear Price"
"Click for price","Click for price"
"Close Window","Close Window"
"Collapse All","Collapse All"
"Comma-separated.","Comma-separated."
"Comparable","Comparable"
"Comparable on Front-end","Comparable on Front-end"
"Comparable on the Frontend","Comparable on the Frontend"
"Compare","Compare"
"Compare Products","Compare Products"
"Conditions","Conditions"
"Conditions Combination","Conditions Combination"
"Configurable Product","Configurable Product"
"Configurable Product Settings","Configurable Product Settings"
"Continue","Continue"
"Controls display of Add to Cart and View Details buttons in category pages and product lists. When disabled, only product names and images will be clickable.","Controls display of Add to Cart and View Details buttons in category pages and product lists. When disabled, only product names and images will be clickable."
"Copy From Configurable","Copy From Configurable"
"Country/State","Country/State"
"Create","Create"
"Create (Upload)","Create (Upload)"
"Create attribute set based on another set","Create attribute set based on another set"
"Create Empty","Create Empty"
"Create new attribute","Create new attribute"
"Create new category","Create new category"
"Create new product","Create new product"
"Create Permanent Redirect for old URL","Create Permanent Redirect for old URL"
"Create Permanent Redirect for URLs if URL Key Changed","Create Permanent Redirect for URLs if URL Key Changed"
"Create Product Settings","Create Product Settings"
"Create Simple Associated Product","Create Simple Associated Product"
"Cross-sells","Cross-sells"
"Custom Design","Custom Design"
"Customer Group","Customer Group"
"Customers Reviews","Customers Reviews"
"Customers Tagged Product","Customers Tagged Product"
"Custom Options","Custom Options"
"Custom options","Custom options"
"Data Type for Saving in Database","Data Type for Saving in Database"
"Date & Time Custom Options","Date & Time Custom Options"
"Date Subscribed","Date Subscribed"
"Datetime","Datetime"
"Decimal","Decimal"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default ""What's This"" Text Message","Default ""What's This"" Text Message"
"Default Popup Text Message","Default Popup Text Message"
"Default Price","Default Price"
"Default Price Navigation Step","Default Price Navigation Step"
"Default Qty","Default Qty"
"Default Values","Default Values"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Delete","Delete"
"Delete Attribute","Delete Attribute"
"Delete attribute","Delete attribute"
"Delete Attribute Set","Delete Attribute Set"
"Delete Category","Delete Category"
"Delete category","Delete category"
"Delete File","Delete File"
"Delete Group Price","Delete Group Price"
"Delete product","Delete product"
"Delete Row","Delete Row"
"Delete Search","Delete Search"
"Delete Tier","Delete Tier"
"Depends on design theme","Depends on design theme"
"Description","Description"
"Design","Design"
"Details","Details"
"Disabled","Disabled"
"Disallowed file format.","Disallowed file format."
"Disallowed file type.","Disallowed file type."
"Display Actual Price","Display Actual Price"
"Display in Suggested Terms","Display in Suggested Terms"
"Display Page Control","Display Page Control"
"Display Price Interval as One Price","Display Price Interval as One Price"
"Display Product Count","Display Product Count"
"Display Type","Display Type"
"Downloadable Information","Downloadable Information"
"Do you want to duplicate the product images as well?","Do you want to duplicate the product images as well?"
"Do you want to duplicate the product images as well?","Do you want to duplicate the product images as well?"
"Duplicate","Duplicate"
"Duplicate Product","Duplicate Product"
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"Duplicate website group price customer group.","Duplicate website group price customer group."
"Duplicate website tier price customer group and quantity.","Duplicate website tier price customer group and quantity."
"Dynamic category processed successfully.","Dynamic category processed successfully."
"Dynamic Category Rules","Dynamic Category Rules"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"each","each"
"Edit","Edit"
"Edit Attribute Set '%s'","Edit Attribute Set '%s'"
"Edit Product Attribute","Edit Product Attribute"
"Edit Product Attribute ""%s""","Edit Product Attribute ""%s"""
"Edit Search","Edit Search"
"Edit Search '%s'","Edit Search '%s'"
"Edit Set Name","Edit Set Name"
"Email","Email"
"Empty","Empty"
"Enable Add to cart Button in product listings","Enable Add to cart Button in product listings"
"Enabled","Enabled"
"Enable for reindexing a big number of SKUs.","Enable for reindexing a big number of SKUs."
"Enable MAP","Enable MAP"
"Enable Qty Increments","Enable Qty Increments"
"Enable WYSIWYG","Enable WYSIWYG"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Error loading children: %s","Error loading children: %s"
"ex. http://domain.com","ex. http://domain.com"
"Exclude","Exclude"
"Expand All","Expand All"
"Failed","Failed"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Failed to copy file %s. Please, delete media with non-existing images and try again."
"Failed to move file: %s","Failed to move file: %s"
"Field is not complete","Field is not complete"
"File","File"
"File options format is not valid.","File options format is not valid."
"File upload failed","File upload failed"
"File upload failed. Please contact the store administrator.","File upload failed. Please contact the store administrator."
"File upload failed with error code: %s","File upload failed with error code: %s"
"Filter","Filter"
"Filterable (no results)","Filterable (no results)"
"Filterable (with results)","Filterable (with results)"
"Filter model name must be declared.","Filter model name must be declared."
"Filter must be an object. Please set correct filter.","Filter must be an object. Please set correct filter."
"Filters","Filters"
"First Name","First Name"
"Fixed","Fixed"
"For internal use.","For internal use."
"For the last time placed.","For the last time placed."
"From","From"
"Frontend","Frontend"
"Frontend Properties","Frontend Properties"
"Gallery","Gallery"
"General Information","General Information"
"Get full information about attribute with list of options","Get full information about attribute with list of options"
"Get full information about custom option in product","Get full information about custom option in product"
"Get list of available custom option types","Get list of available custom option types"
"Get list of non-default attributes by product type and attributes set","Get list of non-default attributes by product type and attributes set"
"Get list of possible attribute types","Get list of possible attribute types"
"Get special price","Get special price"
"Global","Global"
"Globally Editable","Globally Editable"
"Go to Home Page","Go to Home Page"
"Grid","Grid"
"Group add","Group add"
"Grouped Product","Grouped Product"
"Group remove","Group remove"
"Groups","Groups"
"Home","Home"
"HTML tags are not allowed in SKU attribute.","HTML tags are not allowed in SKU attribute."
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","If empty, the Category Name will be used"
"If empty, the Product Name will be used","If empty, the Product Name will be used"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","Image"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image does not exist.","Image does not exist."
"Image type and information need to be specified for each store view.","Image type and information need to be specified for each store view."
"In Cart","In Cart"
"Incl. Tax","Incl. Tax"
"Indexed category/products association","Indexed category/products association"
"Index product and categories URL rewrites","Index product and categories URL rewrites"
"Index product attributes for layered navigation building","Index product attributes for layered navigation building"
"Index product prices","Index product prices"
"Info","Info"
"Info Column Options Wrapper","Info Column Options Wrapper"
"Input Type","Input Type"
"In Stock","In Stock"
"In stock","In stock"
"Integer","Integer"
"Internal Error","Internal Error"
"Interval Division Limit","Interval Division Limit"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
"Invalid block: %s.","Invalid block: %s."
"Invalid category.","Invalid category."
"Invalid category IDs.","Invalid category IDs."
"Invalid custom option(s).","Invalid custom option(s)."
"Invalid image file type.","Invalid image file type."
"Invalid image type.","Invalid image type."
"Invalid option ID specified for %s (%s), skipping the record.","Invalid option ID specified for %s (%s), skipping the record."
"Invalid product collection resource.","Invalid product collection resource."
"Invalid product type specified, skipping the record.","Invalid product type specified, skipping the record."
"Invalid store specified","Invalid store specified"
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid tier prices. The product is not associated to the requested website.","Invalid tier prices. The product is not associated to the requested website."
"Inventory","Inventory"
"Is Default","Is Default"
"Is Required","Is Required"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Keep Frame","Keep Frame"
"Label","Label"
"Last Name","Last Name"
"Last Notification","Last Notification"
"Layered Navigation","Layered Navigation"
"Learn More","Learn More"
"leave blank if its not an image","leave blank if its not an image"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Line %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product does not exist.","Link product does not exist."
"Link to a Specified Category","Link to a Specified Category"
"Link to a Specified Product","Link to a Specified Product"
"List","List"
"List Mode","List Mode"
"List of Products that are set as New","List of Products that are set as New"
"List of types","List of types"
"Manage Attributes","Manage Attributes"
"Manage Attribute Sets","Manage Attribute Sets"
"Manage Catalog Categories","Manage Catalog Categories"
"Manage Categories","Manage Categories"
"Manage Label / Options","Manage Label / Options"
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"Manage Product Attributes","Manage Product Attributes"
"Manage Products","Manage Products"
"Manage Product Sets","Manage Product Sets"
"Manage Stock","Manage Stock"
"Manage Titles (Size, Color, etc.)","Manage Titles (Size, Color, etc.)"
"Max Characters","Max Characters"
"Maximal Depth","Maximal Depth"
"Maximum allowed image size for '%s' is %sx%s px.","Maximum allowed image size for '%s' is %sx%s px."
"Maximum file size","Maximum file size"
"Maximum image height","Maximum image height"
"Maximum Image Size","Maximum Image Size"
"Maximum image width","Maximum image width"
"Maximum number of characters:","Maximum number of characters:"
"Maximum Number of Price Intervals","Maximum Number of Price Intervals"
"Maximum number of price intervals is 100","Maximum number of price intervals is 100"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Maximum resolution for upload image","Maximum resolution for upload image"
"Maximum width and height dimension for upload image is %s.","Maximum width and height dimension for upload image is %s."
"Maximum width and height resolutions for upload image","Maximum width and height resolutions for upload image"
"Maximum width base product image will be scaled down to in pixels","Maximum width base product image will be scaled down to in pixels"
"Maximum width small product image will be scaled down to in pixels","Maximum width small product image will be scaled down to in pixels"
"Media Image","Media Image"
"Middle Name","Middle Name"
"Minimum Advertised Price","Minimum Advertised Price"
"Minimum Lines per Page","Minimum Lines per Page"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
